name,processId,type,startTimestamp,endTimestamp,purchasePrice,undernameLimit
000001,au1L0qoNnMzRWTwKfTlapnzKWHlJpvQ3KU-FVGqFjiQ,lease,1740009600000,1781723931585,0,100
1984,BCUNLCuKiKSLo4pfPTmRz4fd2jCBah2GWKzOlZyKZek,permabuy,1740009600000,,0,100
6529,UEAqCfr-uEhO31xI8Ley2_7RJHfA73bgoXk5H82hg3w,permabuy,1740009600000,,0,100
12345,LM5AVVcjLOxWPbK6uEZIR_27-76TbfFakgoM2CbEKM8,lease,1740009600000,1901224411682,0,10
111111,7l28Q0_B1AhM2kusNmW3_o3qOUHQlnq2q2iTPhoW14E,lease,1740009600000,1774647355913,0,100
123456,F1rYLNNGxOS9RadVz3KEJikWOrLI5wyILHcpG1CwRgA,lease,1740009600000,1778883001091,0,100
222222,wofNqonv2B14idxa4WSINo9QLVHCCPu9zuuwDqUIplM,lease,1740009600000,1775264562060,0,100
666666,UKoyimiqd364Wu0D9Dm_8McduI60rvv5zAtxrQ0jl9U,permabuy,1740009600000,,0,100
686868,dfaUeX5-zjaWTDLY_GvX_8MeTVrilPRvCboZzQOuRHI,lease,1740009600000,1776751093489,0,100
777777,DWfzshvPpqsKfCv4xC44S69_QwRharzl8enub-nvwoU,permabuy,1740009600000,,0,100
888888,Ef6T0VxNgDSL7KMbawvM1HYhu6_shaSKcOTRKY-KF8c,lease,1740009600000,1774407195220,0,100
999999,j8xVJ--WfJ4jnh1r1-da50jFENphd9NLn2HSuXTl36A,lease,1740009600000,1778462189610,0,100
5201314,iiHPDJW5G_gvPtvdS8RJaotynlDGG6AmR_nHiXck1Ho,lease,1740009600000,1911651579208,0,10
12345678,vDeH1apk0WMyMFCBH1W76D2-8tZG2hstwFNZJqYZUGA,lease,1740009600000,1789064312983,0,10
66668888,wVwysHcYBR96Xa9WI0GEgokeHFhqZjHf-j3KAA6V3t0,permabuy,1740009600000,,0,100
69696969,Fxan5GQxn9-V5ssJGvYypBNb3mtJIyGRpVg76mx-o-o,lease,1740009600000,1802135779290,0,11
88888888,hpop46bFD-WVZV_GcsKLK-LbFhgxCH1FGczLLPFl0hc,lease,1740009600000,1774246431846,0,100
123456789,PYqpiEyWMLdQ4IPZ30IaQ_HWnYW_OflhuEbZv-wULP4,lease,1740009600000,1802973891845,0,10
123456789,7G1ptJw4GakughP-yRY0XHCqu-Zo9BhXj8jI6Hscyiw,lease,1740009600000,1781171020970,0,100
999999999,2L3rYSU4ktAWS-K9_i5-OcBYf04mxvBp-te0vTPdj0w,lease,1740009600000,1775571303157,0,100
1234567890,PbmEmthJHg66prRRnOGw0OBAXrR33qpCFReFXHRdv6s,lease,1740009600000,1802769348893,0,10
11111111111,_3SE4PC4bips2OmRTpae3dVft0qOWhpeglgiOCfjs4M,lease,1740009600000,1779859619824,0,100
12345678910,vMiGghNuCGyED7ChUt2GC65mpxo1Js4mS78HtNH6vJw,lease,1740009600000,1805022646722,0,10
1.21212E+14,J0vMeqXSWjiMXt4nHMh_1JSXd65a18yUDsBq8kt6pPc,lease,1740009600000,1802962069042,0,10
9.01199E+14,PxeaCIc3I7iKj9rYPdQDytdlrUITNxE1jlsTN3Q35-c,lease,1740009600000,1801672907500,0,12
1.23454E+33,2dmkkGNE1n583736zLjb6qQhsaZr5gEL5HPfBwP9V7s,lease,1740009600000,1793563806643,0,9999
0rbit,OtowL-_KLGf2ZRmDfrga9HPTjPmpfWjT28o9en7hBOc,lease,1740009600000,1780235537119,0,10
0x000000,AekmO3vRcz3PyQWqcYc0bRSo_JF0lnw1WNxPZxhs2Ps,lease,1740009600000,1805919242862,0,10
0x0x0x0x0x0x0,3sCsvtZOFpJUkfWNUcL-mdL9eHtBK1zr8hmwzycL4Cw,lease,1740009600000,1798590082466,0,10
0x123456,e204wdEnSkL1sk1MTwOCRAuYFtO8zm7LDW9-sPB8nVY,lease,1740009600000,1778121097362,0,100
0x123456789ao,W9-4iGVI1kGhIucjMtDhNkboGecsuCzNSfwjtoUu7po,lease,1740009600000,1806175770267,0,10
0x646464,ht2eXrZWLa6ybGlBK9pLgN8YOOkx-D-WWrjpM0OxB98,permabuy,1740009600000,,0,100
0xagletdoteth,QTnFAM_8FGBAnpnAYN4S_kQi9IepyDJcmqht6dth6eQ,lease,1740009600000,1818442093429,0,10
0xanotherones,slwKQVK1lHjywLIOWrm8IBJUkNYdter6_708eDqH6Fg,lease,1740009600000,1798650867842,0,10
0xb17z,hJbkAQN_WEuVih8UiaNUJi7VJQgUpFlh1Vn4jbvMUcM,permabuy,1740009600000,,0,100
0xb1vcelsius,-J9yFiQ495A1N03NwJkKG7hoO7RHFAtcJLih8KixWtE,lease,1740009600000,1775475319375,0,100
0xb1vscelsius,32r0Xr-Vhjxe0yxV-V0Xq_R4FkMCbbJuIiqj9kOaKVk,lease,1740009600000,1774929761727,0,100
0xcallmefiqsky,8a1qE4Kp9YYbKsbMow05C1vEgbw7iyC2rnuSApxIMZc,lease,1740009600000,1804992385244,0,10
0xcayu7panode,LA0Ji9DCm3udsa-zW1MfO5zqZxvxe2YEIk4x8zHPi0s,lease,1740009600000,1791167200754,0,10
0xdecentralize,sZS1rNbuOnwNIsR2YHrCliQzuDbvLnSdHJ8Be3QN2Ic,lease,1740009600000,1922394137388,0,10
0xesmerey000,VSjnydxCjKv6VrHhNWe5u_NrgcUXkiuBm92yI-cyUc4,lease,1740009600000,1790577120446,0,10
0xfmferrari,vkFnyPPaE1K4uG5HdGd5DkbPLer9YWXM1OfxqP6omEc,lease,1740009600000,1780979570895,0,10
0xhamza,pJ4wClw7Ec8l1gK3CPwiI6j3XI2c2A6eMPaTBe0Oj-E,lease,1740009600000,1792034506950,0,10
0xhoursethevm,DdfHmD9dk111EhDwzS6aGAfsTDRQFtjmdse5y0RqWs8,lease,1740009600000,1799320471499,0,10
0xhyudrop,qO3KKRstw-Pp4Qqna6kR-OPd19sdo15qzrGi4lxeVRg,lease,1740009600000,1798656314406,0,10
0xjacketh,x_bBZBBcYpxDUUjaBQzaBtL0wpV6kGo1WNvW6CtL7yk,lease,1740009600000,1814622638874,0,10
0xjenson,nNgvGUnnh_K4dO26Xf_n6IrTX1rmsA8w7Y-jnTWwaCQ,permabuy,1740009600000,,0,100
0xknowledge,CN4kgrcVUM6SDw0ijYxsKOCt7sXl1ULc4uCEIID0xvU,lease,1740009600000,1801965290187,0,10
0xkullanici,n1YvdJAyLuDvBOIyu9q85S7xEFUCzojgozwOrwL_wuI,lease,1740009600000,1892801127437,0,10
0xkyydless69696969,qGHa-7LSqwtiVGXB7gpt4Ld7A0mwJzENLGuyLeDm4co,lease,1740009600000,1806772732941,0,10
0xmaykyagario,1vVAX5ZYqLXZ_VOdR7of_KyDGbv5RxxXOtIlWf7_zfw,lease,1740009600000,1805476650059,0,10
0xnooneknowsmaltchrist,PvspkQZ7DjPBimjvRK_QFitQUb9DXhQwMoTif5COuNg,permabuy,1740009600000,,0,10
0xpacy,Fj1a0VdRBnZnbErXWsfZ2znVlV72xDr4xg_S-Y2kf0k,permabuy,1740009600000,,0,100
0xpellegrinos,Axg-7nmF1ciTkVe-SJeiyQ2EV6T4eA5ItTmYenEtgXY,lease,1740009600000,1787771634276,0,10
0xsamos,tXgepfgcDFPV4FFF3CgY2u-2qhzasysX26K7DNXERTg,lease,1740009600000,1802773601016,0,10
0xsav-xyz,fZfU-t9upi2MpU0jlm5p5rM7lzSOMIuEJFTFxEB1S08,lease,1740009600000,1788134026299,0,10
0xsefa,plKINrzGYIZLHYsH6zp-r31chCUbzAnoayIEz6xOOW8,lease,1740009600000,1785932410744,0,10
0xsiriusblack,ZVqmXJ9SoRilSQvYG7qCr2pgOoou0jS8u4_MUwTq_Pc,lease,1740009600000,1790587356992,0,10
0xskyeagle,XLRVoctku9FPJffv8WPWcb5Zpc7mKXdxfr9YtbwXvKc,lease,1740009600000,1797523256190,0,10
0xsugiono,7EyTuahsLWaBgCFzeOT87xCNQ9Yw_1z3sX99cU-e15o,lease,1740009600000,1805312951393,0,10
0xsulaimanroots,WhPsbDdRAq8vVBXh6oRVsN2ykkBRKFqTeptI7EISe1w,lease,1740009600000,1800642747328,0,10
0xsunkripto,EIcAChSmicz8suL3vVnEtM0KNeRtxUtCB05aGqWHV2E,lease,1740009600000,1794516500170,0,10
0xtianpratama,7jTrKRmt1KQWIly5suJAjlsOn4OcHUr5tEAt_bFI8RE,lease,1740009600000,1805399235528,0,10
0xtolushekoni,Hdb-Gh8vWovHJqaZ0S2QHGRsH7yloUJIlRXZmMCuuVU,lease,1740009600000,1801396429285,0,10
0xtrumphummer,PP1zrCSp2jJj3NnykN9P5eIQ6LcOHQ6q4U8bKC4pql0,lease,1740009600000,1802075382405,0,15
0xtukimin,9ubMoi7LMjSnOQvPc_tpRg5XRsdG6PKieOH4a7S2ehc,lease,1740009600000,1780700025496,0,10
0xvrising,qWFFuLhxP6B13mgavlQXMTaTSp1o-IPUtqkBrvfpJcc,lease,1740009600000,1788137494725,0,10
0xwarvan,rFExSXCmyFAr7UCwf9WehhlUtVOmi-tz4ty5zD_Y8U0,lease,1740009600000,1801553516853,0,10
0xwekyy,2MhRc7GKh05HXVA30rzPHGj_vVClIDvaCtGMsHcYjrg,lease,1740009600000,1805032571822,0,10
